Time (s),Distance (mm)
112.427649,398
112.526231,399
112.62354,399
112.719767,399
112.818396,396
112.91448,396
113.011467,399
113.114001,397
113.207663,398
113.307149,397
113.403839,398
113.500346,397
113.598844,398
113.695513,397
113.796169,398
113.892639,396
113.991609,397
114.088287,397
114.185941,397
114.283039,398
114.380601,398
114.477487,397
114.57502,396
114.755884,398
114.823639,397
114.868214,395
114.96515,400
115.063702,398
115.16126,398
115.257841,399
115.35637,398
115.455576,397
115.553172,396
115.649731,397
115.746881,396
115.846117,397
115.942418,400
116.039408,398
116.139234,398
116.237787,396
116.33537,398
116.431701,398
116.530936,398
116.628685,398
116.725043,397
116.824578,396
116.920058,397
117.01622,398
117.115264,395
117.21179,394
117.309504,396
117.406942,395
117.504839,397
117.602384,397
117.69887,398
117.797416,398
117.896543,398
117.995996,398
118.095313,397
118.191373,397
118.289106,397
118.387851,399
118.485383,398
118.581455,397
118.681242,397
118.77978,398
118.879266,398
118.977788,397
119.075215,398
119.174003,397
119.271518,397
119.368057,398
119.464889,399
119.563423,398
119.660548,399
119.758266,396
119.854766,395
119.952324,398
120.048872,396
