Time (s),Distance (mm)
51.554002,2056
51.652377,2036
51.74681,2047
51.853264,2048
51.94095,2047
52.038347,2047
52.136156,2044
52.232782,2052
52.329403,2048
52.42688,2050
52.52341,2053
52.62089,2052
52.720573,2048
52.815059,2048
52.915596,2053
53.008458,2048
53.10566,2048
53.210974,2052
53.299474,2045
53.396014,2057
53.497485,2051
53.591026,2041
53.687568,2049
53.784222,2048
53.881734,2053
53.978763,2052
54.075826,2051
54.172538,2052
54.269996,2053
54.367023,2052
54.463692,2061
54.5776,2050
54.656756,2048
54.754152,2049
54.851486,2050
54.948261,2043
55.045952,2045
55.14231,2043
55.239991,2055
55.336776,2054
55.433329,2047
55.530587,2055
55.65812,2041
55.7241,2044
55.821489,2044
55.918093,2050
56.015407,2059
56.113128,2041
56.208866,2045
56.307978,2051
56.403058,2053
56.500737,2049
56.597766,2051
56.694843,2048
56.791617,2041
56.888538,2040
56.985635,2049
57.082154,2049
57.189101,2050
57.276926,2050
57.373204,2044
57.469136,2051
57.567801,2052
57.663726,2055
57.761861,2051
57.857818,2050
57.954167,2048
58.052153,2047
58.148282,2046
58.245258,2050
58.343942,2047
58.440097,2051
58.536596,2047
58.633835,2048
58.731055,2054
58.828094,2045
58.925363,2048
59.021926,2050
59.118716,2048
59.215909,2049
59.313121,2051
59.412043,2049
59.506772,2051
59.603419,2051
59.700663,2051
59.7978,2049
59.893909,2047
59.992039,2050
60.088397,2046
60.185668,2049
60.282895,2045
60.379842,2050
60.47635,2050
60.573808,2045
60.670789,2045
60.768449,2050
60.865002,2050
60.962036,2058
61.05896,2049
61.156063,2048
61.253565,2051
61.349547,2050
61.447404,2051
61.544212,2053
61.641628,2044
61.73812,2048
61.834205,2048
61.931196,2054
62.028759,2047
62.129554,2051
62.222359,2051
62.320143,2048
62.417375,2039
62.513333,2048
62.610948,2053
62.70737,2048
62.80439,2049
62.901481,2049
62.999124,2046
63.095233,2049
63.203746,2049
63.29018,2056
63.387001,2048
63.484029,2045
63.580959,2046
63.677647,2053
63.774872,2042
63.872493,2048
63.968997,2053
64.065699,2045
64.163287,2051
64.290852,2048
64.356857,2050
64.454378,2045
64.553774,2051
64.649381,2048
64.745262,2055
64.841895,2051
64.938731,2049
65.035841,2044
65.13322,2046
65.256367,2056
65.327139,2043
65.424725,2045
65.520461,2053
65.618077,2051
65.715297,2050
65.811166,2049
65.908599,2047
66.006724,2052
66.107894,2048
66.199911,2049
66.296269,2045
66.393976,2050
66.490547,2050
66.588104,2047
66.688666,2043
66.78219,2048
66.884482,2049
66.982122,2052
67.072802,2045
67.169331,2048
67.266565,2053
67.363385,2054
67.461346,2046
67.557917,2046
67.65482,2045
67.75219,2042
67.848721,2047
67.946037,2045
68.061858,2050
68.139895,2049
68.236051,2052
68.334169,2055
68.430398,2051
68.528277,2051
68.625106,2049
68.722501,2044
68.819362,2050
68.916247,2046
69.013524,2050
69.142483,2047
69.207497,2052
69.304381,2048
69.401525,2046
69.497637,2052
69.594792,2049
69.71351,2051
69.789232,2050
69.886364,2053
69.983937,2050
70.079807,2059
70.176228,2050
70.274476,2051
70.372346,2049
70.478887,2048
70.564498,2057
70.661399,2047
70.763137,2054
70.855896,2050
70.962692,2048
71.050226,2055
71.147144,2048
71.243689,2048
71.34087,2044
71.437737,2058
71.534585,2052
71.631704,2048
71.729105,2046
71.848012,2049
71.923292,2050
72.020855,2054
72.117751,2049
72.225915,2041
72.310934,2052
72.407879,2048
72.504985,2049
72.609491,2053
72.699503,2044
72.796301,2054
72.893485,2048
72.98963,2045
73.086582,2047
73.208583,2050
73.281395,2051
73.377519,2041
73.474812,2048
73.571303,2046
73.668927,2049
73.766173,2047
73.863266,2047
73.960033,2054
74.056387,2050
74.153137,2052
74.251166,2048
74.347218,2049
74.444617,2047
74.542807,2053
74.63832,2048
74.735987,2046
74.833572,2053
74.929103,2046
75.02661,2049
75.12386,2050
75.219982,2044
75.318382,2046
75.4152,2056
75.511226,2053
75.611008,2050
75.705961,2045
75.803151,2053
75.900607,2049
75.996438,2050
76.094451,2051
76.190498,2052
76.287465,2052
76.385039,2053
76.481288,2050
76.578557,2047
76.675821,2047
76.772315,2044
76.86945,2054
76.968047,2047
77.063379,2047
77.161233,2050
77.257272,2053
77.353978,2058
77.451775,2049
77.548349,2050
77.645483,2048
77.749129,2051
77.839602,2056
77.936824,2052
78.033781,2056
78.131592,2047
78.227984,2052
78.324415,2041
78.421211,2054
78.519137,2052
78.615684,2047
78.712647,2053
78.809766,2055
78.906838,2044
79.003289,2048
79.102843,2048
79.197022,2050
79.294328,2045
79.391319,2054
79.488454,2052
79.586406,2055
79.682411,2053
79.779975,2052
79.876946,2052
79.974954,2049
80.070722,2047
80.167488,2049
80.265003,2061
80.36214,2048
80.458901,2044
80.555408,2045
80.652762,2054
80.750284,2050
80.848336,2045
80.943939,2048
81.041102,2049
81.137152,2049
81.236403,2048
81.331988,2049
81.428893,2046
81.52496,2051
81.623504,2038
81.720441,2046
81.81678,2053
81.913553,2051
82.010462,2051
82.107556,2048
